,Country,Start Year,Total Death Heat Wave,Total Death Cold Wave + Severe Winter Conditions,Total Death Country Year,Pct Death Heat Wave,Pct Death Cold Wave + Severe Winter Conditions
387,Malta,2023,70.0,0.0,70.0,100.0,0.0
388,Marshall Islands,2022,0.0,0.0,0.0,0.0,0.0
389,Marshall Islands,2024,0.0,0.0,0.0,0.0,0.0
390,Mauritania,2020,0.0,0.0,92.0,0.0,0.0
391,Mauritania,2021,0.0,0.0,50.0,0.0,0.0
392,Mauritania,2022,0.0,0.0,14.0,0.0,0.0
393,Mauritania,2023,0.0,0.0,1.0,0.0,0.0
394,Mauritania,2024,0.0,0.0,187.0,0.0,0.0
395,Mauritius,2022,0.0,0.0,1.0,0.0,0.0
396,Mauritius,2023,0.0,0.0,1.0,0.0,0.0
397,Mauritius,2024,0.0,0.0,2.0,0.0,0.0
398,Mayotte,2020,0.0,0.0,10.0,0.0,0.0
399,Mayotte,2024,0.0,0.0,35.0,0.0,0.0
400,Mexico,2020,0.0,0.0,82.0,0.0,0.0
401,Mexico,2021,0.0,0.0,182.0,0.0,0.0
402,Mexico,2022,0.0,0.0,108.0,0.0,0.0
403,Mexico,2023,0.0,0.0,232.0,0.0,0.0
404,Mexico,2024,155.0,0.0,276.0,56.15942028985508,0.0
405,Micronesia (Federated States of),2023,0.0,0.0,0.0,0.0,0.0
406,Mongolia,2020,0.0,0.0,10.0,0.0,0.0
407,Mongolia,2021,0.0,0.0,12.0,0.0,0.0
408,Mongolia,2022,0.0,0.0,0.0,0.0,0.0
409,Mongolia,2023,0.0,2.0,14.0,0.0,14.285714285714285
410,Montenegro,2022,50.0,0.0,50.0,100.0,0.0
411,Montenegro,2023,41.0,0.0,41.0,100.0,0.0
412,Morocco,2020,0.0,0.0,26.0,0.0,0.0
413,Morocco,2021,0.0,0.0,24.0,0.0,0.0
414,Morocco,2022,0.0,0.0,75.0,0.0,0.0
415,Morocco,2023,0.0,0.0,2981.0,0.0,0.0
416,Morocco,2024,21.0,0.0,43.0,48.837209302325576,0.0
417,Mozambique,2020,0.0,0.0,37.0,0.0,0.0
