,Country,ISO,Year,Population,Magnitude,Total_Heat_Deaths,Percentage_Heat_Deaths,Total_Cold_Deaths,Percentage_Cold_Deaths,Total_Deaths
39,Bosnia and Herzegovina,BIH,2012,3670113.0,-32.5,0.0,0.0,4.0,0.010174751354513773,39313.0
40,Brazil,BRA,2004,182675143.0,-7.0,0.0,0.0,0.0,0.0,1088789.0
41,Brazil,BRA,2010,193701929.0,46.3,32.0,0.0028476844765599973,0.0,0.0,1123720.0
42,Bulgaria,BGR,2000,8170172.0,43.1,7.0,0.006080136195050769,0.0,0.0,115129.0
43,Bulgaria,BGR,2006,7601022.0,-23.0,0.0,0.0,0.0,0.0,113227.0
44,Bulgaria,BGR,2007,7545338.0,45.5,2.0,0.0017729081899493834,0.0,0.0,112809.0
45,Bulgaria,BGR,2008,7492561.0,-31.6,0.0,0.0,10.0,0.009071446714322,110236.0
46,Bulgaria,BGR,2010,7395599.0,-38.3,0.0,0.0,3.0,0.002738150653048931,109563.0
47,Bulgaria,BGR,2012,7305888.0,-30.0,0.0,0.0,30.0,0.027517634217260896,109021.0
48,Bulgaria,BGR,2012,7305888.0,-19.0,0.0,0.0,3.0,0.0027517634217260893,109021.0
49,Canada,CAN,2014,35434066.0,-48.0,0.0,0.0,0.0,0.0,263225.0
50,Canada,CAN,2018,37072620.0,37.2,70.0,0.02416050861322132,0.0,0.0,289729.0
51,Canada,CAN,2021,38239864.0,49.6,815.0,0.26189871749965454,0.0,0.0,311189.0
52,Canada,CAN,2023,40083484.0,-50.0,0.0,0.0,0.0,0.0,311827.0
53,Chile,CHL,2000,15503635.0,-20.0,0.0,0.0,0.0,0.0,77691.0
54,Chile,CHL,2007,16671581.0,-18.0,0.0,0.0,0.0,0.0,91596.0
55,Chile,CHL,2011,17351816.0,-22.0,0.0,0.0,0.0,0.0,102168.0
56,China,CHN,2002,1280400000.0,43.0,7.0,8.841969748337331e-05,0.0,0.0,7916788.0
57,China,CHN,2004,1296075000.0,39.0,39.0,0.0004802274948464817,0.0,0.0,8121151.0
58,China,CHN,2005,1303720000.0,39.0,0.0,0.0,0.0,0.0,8214690.0
59,China,CHN,2008,1324655000.0,11.3,0.0,0.0,0.0,0.0,8683383.0
60,China,CHN,2016,1387790000.0,-41.0,0.0,0.0,5.0,5.160670243079954e-05,9688664.0
61,Croatia,HRV,2000,4468302.0,35.0,40.0,0.07600372418248494,0.0,0.0,52629.0
62,Croatia,HRV,2005,4310145.0,-20.0,0.0,0.0,0.0,0.0,50364.0
63,Croatia,HRV,2022,3855641.0,40.0,731.0,1.370273867321499,0.0,0.0,53347.0
64,Cyprus,CYP,2000,947667.0,43.0,5.0,0.07970667941973537,0.0,0.0,6273.0
65,Cyprus,CYP,2007,1072714.0,42.0,4.0,0.061614294516327786,0.0,0.0,6492.0
66,Czechia,CZE,2003,10193998.0,25.0,418.0,0.37522778480955843,0.0,0.0,111399.0
67,Democratic People's Republic of Korea,PRK,2018,25931147.0,37.8,0.0,0.0,0.0,0.0,235013.0
