,Country,Start Year,Start Month,Total Death Heat Wave,Total Death Cold Wave + Severe Winter Conditions,Total Death Country Year,Pct Death Heat Wave,Pct Death Cold Wave + Severe Winter Conditions
330,China,2022,6.0,0.0,0.0,4.0,0.0,0.0
331,China,2022,7.0,0.0,0.0,58.0,0.0,0.0
332,China,2022,8.0,0.0,0.0,52.0,0.0,0.0
333,China,2022,9.0,0.0,0.0,135.0,0.0,0.0
334,China,2022,11.0,0.0,0.0,48.0,0.0,0.0
335,China,2023,1.0,0.0,0.0,47.0,0.0,0.0
336,China,2023,2.0,0.0,0.0,69.0,0.0,0.0
337,China,2023,4.0,0.0,0.0,29.0,0.0,0.0
338,China,2023,5.0,0.0,0.0,10.0,0.0,0.0
339,China,2023,6.0,0.0,0.0,63.0,0.0,0.0
340,China,2023,7.0,0.0,0.0,77.0,0.0,0.0
341,China,2023,8.0,0.0,0.0,108.0,0.0,0.0
342,China,2023,9.0,0.0,0.0,27.0,0.0,0.0
343,China,2023,10.0,0.0,0.0,0.0,0.0,0.0
344,China,2023,11.0,0.0,0.0,26.0,0.0,0.0
345,China,2023,12.0,0.0,0.0,163.0,0.0,0.0
346,China,2024,1.0,0.0,0.0,63.0,0.0,0.0
347,China,2024,2.0,0.0,0.0,15.0,0.0,0.0
348,China,2024,3.0,0.0,0.0,4.0,0.0,0.0
349,China,2024,4.0,0.0,0.0,29.0,0.0,0.0
350,China,2024,5.0,0.0,0.0,48.0,0.0,0.0
351,China,2024,7.0,0.0,0.0,153.0,0.0,0.0
352,China,2024,8.0,0.0,0.0,27.0,0.0,0.0
353,China,2024,9.0,0.0,0.0,17.0,0.0,0.0
354,China,2024,10.0,0.0,0.0,8.0,0.0,0.0
355,China,2024,12.0,0.0,0.0,13.0,0.0,0.0
356,Colombia,2020,2.0,0.0,0.0,14.0,0.0,0.0
357,Colombia,2020,4.0,0.0,0.0,11.0,0.0,0.0
358,Colombia,2020,7.0,0.0,0.0,63.0,0.0,0.0
359,Colombia,2020,10.0,0.0,0.0,0.0,0.0,0.0
360,Colombia,2020,11.0,0.0,0.0,41.0,0.0,0.0
361,Colombia,2021,1.0,0.0,0.0,12.0,0.0,0.0
362,Colombia,2021,3.0,0.0,0.0,11.0,0.0,0.0
363,Colombia,2021,4.0,0.0,0.0,3.0,0.0,0.0
364,Colombia,2021,6.0,0.0,0.0,5.0,0.0,0.0
365,Colombia,2021,9.0,0.0,0.0,12.0,0.0,0.0
366,Colombia,2021,10.0,0.0,0.0,2.0,0.0,0.0
367,Colombia,2021,11.0,0.0,0.0,20.0,0.0,0.0
368,Colombia,2022,2.0,0.0,0.0,20.0,0.0,0.0
369,Colombia,2022,3.0,0.0,0.0,32.0,0.0,0.0
370,Colombia,2022,4.0,0.0,0.0,37.0,0.0,0.0
371,Colombia,2022,5.0,0.0,0.0,15.0,0.0,0.0
372,Colombia,2022,6.0,0.0,0.0,4.0,0.0,0.0
373,Colombia,2022,8.0,0.0,0.0,0.0,0.0,0.0
374,Colombia,2022,10.0,0.0,0.0,46.0,0.0,0.0
375,Colombia,2022,11.0,0.0,0.0,7.0,0.0,0.0
376,Colombia,2022,12.0,0.0,0.0,34.0,0.0,0.0
377,Colombia,2023,1.0,0.0,0.0,0.0,0.0,0.0
378,Colombia,2023,3.0,0.0,0.0,22.0,0.0,0.0
379,Colombia,2023,7.0,0.0,0.0,29.0,0.0,0.0
380,Colombia,2023,10.0,0.0,0.0,0.0,0.0,0.0
381,Colombia,2024,1.0,0.0,0.0,34.0,0.0,0.0
382,Colombia,2024,5.0,0.0,0.0,0.0,0.0,0.0
383,Colombia,2024,10.0,0.0,0.0,0.0,0.0,0.0
384,Colombia,2024,11.0,0.0,0.0,0.0,0.0,0.0
385,Congo,2020,3.0,0.0,0.0,20.0,0.0,0.0
